year,tryusd_close,depreciation
2006,0.7091695666313171,-0.042621053662394215
2007,0.8599931597709656,0.21267634742997732
2008,0.6697026491165161,-0.22126979557038318
2009,0.6674230694770813,-0.0034038683323741603
2010,0.6442053914070129,-0.03478704757427575
2011,0.5220841765403748,-0.18956875632461334
2012,0.5590714812278748,0.07084548114941702
2013,0.4715735614299774,-0.15650578277705718
2014,0.43052786588668823,-0.08703985740596687
2015,0.3424552083015442,-0.20456900601254957
2016,0.2842847406864166,-0.16986299581668607
2017,0.2647702097892761,-0.06864431362028756
2018,0.18959933519363403,-0.2839098652959058
2019,0.1681457906961441,-0.11315200275138015
2020,0.13561657071113586,-0.19345842587158024
2021,0.07524171471595764,-0.4451878976041729
2022,0.053467389196157455,-0.28939167059123627
2023,0.03387556970119476,-0.3664255874377105
2024,0.028324401006102562,-0.16386938268661544
2025,0.023290641605854034,-0.17771812364766304
