year,avg_try_kg_inshell,avg_usd_kg_inshell,avg_try_kg_shelled,avg_usd_kg_shelled
2000,1.1388492545635502,1.5933333333333335,2.530776121252334,3.540740740740741
2001,1.579060428116326,1.3790909090909091,3.5090231735918356,3.0646464646464646
2002,1.5944763898452845,1.0508333333333333,3.5432808663228545,2.335185185185185
2003,2.0039826975792736,1.2975,4.453294883509497,2.8833333333333333
2004,3.774230834857984,2.64,8.387179633017741,5.866666666666667
2005,4.470092441065955,4.6530000000000005,9.933538757924344,10.340000000000002
2006,1.154959613948723,3.0083333333333333,2.5665769198860513,6.685185185185185
2007,3.8679078629716797,2.9654545454545453,8.595350806603733,6.589898989898989
2008,4.502219974380094,3.2711111111111113,10.004933276400209,7.269135802469136
2009,3.9919732795891205,2.5,8.871051732420268,5.555555555555555
2010,4.593334910440017,3.0736363636363637,10.207410912088926,6.83030303030303
2011,5.803455511596692,3.4560000000000004,12.896567803548203,7.680000000000001
2012,5.883737005457984,3.3333333333333335,13.074971123239965,7.407407407407407
2013,5.818990854645067,3.06,12.931090788100148,6.8
2014,10.361398526455464,4.926,23.02533005878992,10.946666666666667
2015,12.931791550255076,5.454285714285715,28.73731455612239,12.12063492063492
2016,11.751279421221088,3.968,26.113954269380194,8.817777777777778
2017,10.551196850695646,2.935714285714286,23.44710411265699,6.523809523809524
2018,12.413857388069767,2.67125,27.586349751266148,5.936111111111111
2019,16.498446101805264,3.044,36.663213559567254,6.764444444444444
2020,23.25384626187217,3.33,51.675213915271485,7.4
2021,26.154340512648265,2.96375,58.12075669477392,6.586111111111111
2022,49.5899527847673,2.7199999999999998,110.19989507726066,6.044444444444443
2023,55.14883099863603,3.19,122.55295777474673,7.088888888888889
