crop_year,n_months,total_qty_kg,vwap_try_kg_inshell,vwap_usd_kg_inshell,vwap_try_kg_shelled,vwap_usd_kg_shelled
2000,11,51345693.0,1.2203304016750927,1.5815413793855813,2.7118453370557614,3.514536398634625
2001,12,117121370.0,1.5676056194484234,1.0078876028345638,3.4835680432187184,2.239750228521253
2002,12,88006121.0,1.5924558250664291,0.9393843804341745,3.5387907223698423,2.0875208454092764
2003,13,61402752.0,2.827412470645371,1.8334973196329063,6.28313882365638,4.074438488073125
2004,11,15824510.0,5.708454212654168,4.19871041941711,12.68545380589815,9.330467598704688
2005,12,84760773.0,5.525832840151187e-06,3.9326554041449593,1.2279628533669304e-05,8.739234231433242
2006,13,122462377.0,3.4901108525763793,2.069455140481001,7.7558018946141765,4.598789201068891
2007,13,79327853.0,4.846934682576118,3.933789223114705,10.770965961280263,8.74175382914379
2008,13,154046221.0,3.8033758582107637,1.9623433372640535,8.451946351579474,4.360762971697897
2009,12,68005074.0,4.63317915072043,3.1156897518175715,10.295953668267622,6.923755004039047
2010,13,69323981.0,4.636295137176268,3.044293089824465,10.30287808261393,6.765095755165477
2011,13,66073253.0,6.989102640367957,3.8959454524940256,15.531339200817682,8.657656561097834
2012,13,97749250.0,4.762595600477753,2.6888947190389305,10.58354577883945,5.97532159786429
2013,12,101650962.0,7.219794663625515,3.666081614336007,16.04398814139003,8.146848031857793
2014,13,45237576.0,14.672436250784083,6.527734797110513,32.6054138906313,14.506077326912251
2015,12,72092644.0,10.264840210327145,4.138619832440788,22.81075602294921,9.196932960979527
2016,12,49807887.0,12.051583155896575,3.9431044823913237,26.781295901992387,8.762454405314053
2017,13,88535271.0,10.10640102970939,2.748405647790252,22.458668954909758,6.10756810620056
2018,12,32582731.0,15.008735087307445,2.4960104571186053,33.35274463846099,5.546689904708011
2019,13,106451544.0,17.13402354220433,3.06966958089364,38.075607871565175,6.8214879575414225
2020,13,78809796.0,24.35048026263131,3.2128311430838936,54.11217836140291,7.139624762408652
2021,13,54773276.0,29.644510600388408,2.7375344024046493,65.87669022308535,6.083409783121443
2022,13,82641651.0,54.00273658617977,2.7124001853128417,120.00608130262171,6.02755596736187
2023,13,42000090.0,129.35984903841873,,287.46633119648607,
2024,7,81274960.0,131.30635818215106,,291.7919070714468,
