,frost_dh,prod_mt,tmo_try,tmo_try_ret,tmo_active,prod_trend_5yr,prod_shortfall,is_on_year
1990,1.3354202270507811,375000.0,,,,403333.3333333333,-0.0702479338842974,0
1991,0.0786895751953125,315000.0,,,,378750.0,-0.1683168316831683,0
1992,7.132807617187501,520000.0,,,,401000.0,0.2967581047381546,1
1993,2.401437377929687,305000.0,,,,417000.0,-0.2685851318944844,0
1994,0.0581329345703125,490000.0,,,,443200.0,0.1055956678700361,1
1995,10.127540588378904,455000.0,,,,421200.0,0.0802469135802469,0
1996,0.200152587890625,446000.0,,,,476200.0,-0.0634187316253674,0
1997,101.41257568359376,410000.0,,,,484200.0,-0.1532424617926476,0
1998,22.05332275390625,580000.0,,,,487200.0,0.1904761904761904,1
1999,3.1860107421875004,530000.0,,,,523000.0,0.0133843212237093,0
2000,28.320576171875008,470000.0,,,0,561000.0,-0.1622103386809269,0
2001,0.0,625000.0,,,0,541000.0,0.155268022181146,1
2002,0.3643676757812499,600000.0,,,0,505000.0,0.1881188118811881,0
2003,44.10578186035155,480000.0,,,0,517000.0,-0.0715667311411992,0
2004,13.34724975585938,350000.0,,,0,524200.0,-0.3323159099580313,0
2005,3.0359014892578124,530000.0,,,0,510200.0,0.0388083104664837,1
2006,0.0285430908203125,661000.0,3.9209631236367763,,1,574358.2,0.1508497658778094,1
2007,0.8956115722656249,530000.0,5.382596179187972,0.3727739867636144,1,604358.2,-0.1230366362200429,0
2008,0.5140594482421875,800791.0,4.574794834935416,-0.15007652763845702,1,618358.2,0.2950277040071597,1
2009,5.4941650390625005,500000.0,,,0,572158.2,-0.1261158190164887,0
2010,1.7974334716796874,600000.0,,,0,598158.2,0.0030791185341938,1
2011,0.0,430000.0,,,0,547800.0,-0.2150419861263234,0
2012,11.998335266113283,660000.0,,,0,537800.0,0.2272220156191892,1
2013,0.5988037109375001,549000.0,,,0,547000.0,0.0036563071297989,0
2014,0.4743743896484376,450000.0,,,0,545000.0,-0.1743119266055046,0
2015,8.75288330078125,646000.0,,,0,548000.0,0.1788321167883211,1
2016,1.5770379638671876,420000.0,10.46291053245261,,1,541200.0,-0.2239467849223946,0
2017,1.1372161865234376,675000.0,10.454472767034305,-0.0008064453377608638,1,606409.2,0.1131097615273647,1
2018,0.0024749755859375,515000.0,14.511306758141924,0.38804768844009807,1,610209.2,-0.1560271461000587,0
2019,0.431243896484375,776046.0,17.31410560032232,0.19314586128556743,1,663009.2,0.1704905452292367,1
2020,2.381453857421875,665000.0,13.736621568921555,-0.2066225142657191,1,681009.2,-0.0235080524609652,0
2021,1.7643951416015626,684000.0,27.481867236099475,1.000627817998268,1,708009.2,-0.0339108587854507,1
2022,47.9119659423828,765000.0,54.7885229255756,0.9936244671761896,1,696200.0,0.098822177535191,1
2023,2.7756262207031246,650000.0,88.68078374985735,0.6186014700619107,1,704000.0,-0.0767045454545454,0
2024,0.0388031005859375,717000.0,133.81446476661054,0.5089454457694256,1,710666.6666666666,0.0089118198874296,1
