date,news_frost_news,news_harvest_news,news_price_news,news_support_price,news_production_cut,news_production_up,news_export_news,news_bearish_prod,news_bullish_prod,news_bearish_price,news_bullish_price,news_net_prod,news_net_price
2017-03-01,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0,10,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,4,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,3,8,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,2,25,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,3,20,14,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,12,6,9,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,9,2,4,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,1,2,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,1,0,10,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,0,3,14,1,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-01,4,2,16,2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-01,8,16,20,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-01,12,5,27,0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-01,1,3,39,0,0,0,14,1.0,0.0,0.0,0.0,-1.0,0.0
