marketing_year,production_mt,area_ha,harvest_losses_mt,supply_use_mt,usable_production_mt,imports_mt,imports_eu_mt,domestic_use_mt,human_consumption_mt,seed_use_mt,animal_feed_mt,processing_mt,industrial_use_mt,losses_mt,exports_mt,exports_eu_mt,stock_change_mt,per_capita_kg,self_sufficiency_pct,harvest_year
2000/'01,470000.0,,4230.0,467789.196,465770.0,2019.196,,96611.674,93713.32378,,,,,2898.35022,371419.522,,-242.0,1.4010274302202155,482.1052992001774,2000
2001/'02,625000.0,,5625.0,624349.686,619375.0,4974.686,,209128.527,202854.67119,,,,,6273.85581,493024.159,,-77803.0,2.9877263931601274,296.1695417096301,2001
2002/'03,600000.0,,5400.0,601019.415,594600.0,6419.415,,141428.744,137185.88168,,,,,4242.86232,503841.471,,-44250.8,1.9928801197013277,420.4237294223584,2002
2003/'04,480000.0,,4320.0,478388.075,475680.0,2708.075,,139498.17200000008,135313.22684000008,,,,,4184.945160000002,426236.50299999997,,-87346.6,1.9394184726960022,340.99371567392274,2003
2004/'05,350000.0,,3150.0,350193.332,346850.0,3343.332,,98120.84404650256,95177.0,,,,,2943.6253213950768,401355.601,,-149283.11304650258,1.3475782266734566,353.4926787172936,2004
2005/'06,530000.0,,4770.0,532871.0,525230.0,7641.0,,12564.0,12187.0,,,,,377.0,476765.0,,43542.0,,4180.44,2005
2006/'07,661000.0,,5949.0,663271.0,655051.0,8220.0,,40138.0,38934.0,,,,,1204.0,499699.0,,123434.0,,1632.0,2006
2007/'08,530000.0,,4770.0,532692.0,525230.0,7462.0,6114.0,52884.0,51297.0,,,,,1587.0,415636.0,328314.0,64172.0,0.73,993.17,2007
2008/'09,800791.0,,7207.119000000001,800530.411578,793583.881,6946.530578,5316.493732,53807.62003000011,52193.391429100106,,,,,1614.2286009000031,473852.79154799995,366402.485174,272870.0,0.7298029622160309,1474.8540830416625,2008
2009/'10,500000.0,,4500.0,498533.0,495500.0,3033.0,2617.0,54759.0,53116.0,,,,,1643.0,392274.0,286082.0,51500.0,0.73,904.87,2009
2010/'11,600000.0,,5400.0,598399.0,594600.0,3799.0,3138.0,95595.0,92727.0,,,,,2868.0,482604.0,353888.0,20200.0,1.26,621.99,2010
2011/'12,430000.0,,3870.0,429340.0,426130.0,3210.0,2368.0,90972.0,88243.0,,,,,2729.0,411785.0,297168.0,-73417.0,1.18,468.42,2011
2012/'13,660000.0,,5940.0,662757.0,654060.0,8697.0,6349.0,93546.0,90740.0,,,,,2806.0,649211.0,491972.0,-80000.0,1.2,699.19,2012
2013/'14,549000.0,,4941.0,550112.0,544059.0,6053.0,4327.0,92822.0,90037.0,,,,,2785.0,567290.0,428954.0,-110000.0,1.17,586.13,2013
2014/'15,450000.0,,4050.0,453137.0,445950.0,7187.0,5788.0,85266.0,82708.0,,,,,2558.0,492871.0,395514.0,-125000.0,1.065,523.01,2014
2015/'16,646000.0,,5814.0,649896.0,640186.0,9710.0,7720.0,108912.0,105645.0,,,,,3267.0,534274.0,417303.0,6710.0,1.34,587.8,2015
2016/'17,420000.0,,3780.0,427081.0,416220.0,10861.0,6582.0,100749.0,97727.0,,,,,3022.0,519332.0,398895.0,-193000.0,1.224,413.126,2016
2017/'18,675000.0,,6075.0,683773.0,668925.0,14848.0,10873.0,133328.0,129328.0,,,,,4000.0,628545.0,469160.0,-78100.0,1.6,501.714,2017
2018/'19,515000.0,,4635.0,525207.0,510365.0,14842.0,10937.0,114569.0,111131.93,,,,,3437.07,594796.0,454443.0,-184158.0,1.3552032817178095,445.46517818956266,2018
2019/'20,776046.0,,6984.0,778572.0,769062.0,9510.0,6746.0,136383.0,132292.0,,,,,4091.0,730572.0,569376.0,-88383.0,1.591,563.8987263808539,2019
2020/'21,665000.0,,5985.0,675352.0,659015.0,16337.0,9835.0,119188.0,115612.36,,,,,3575.64,624412.0,453934.0,-68248.0,1.3826854290893231,552.9205960331577,2020
2021/'22,684000.0,,6156.0,693363.0,677844.0,15519.0,9429.0,120843.0,117217.71,,,,,3625.29,732209.0,546252.0,-159689.0,1.3842386880354058,560.9294704699487,2021
2022/'23,765000.0,,6885.0,775040.0,758115.0,16925.0,7462.0,110917.0,107589.49,,,,,3327.51,652588.0,499848.0,11535.0,1.2616094505091977,683.4975702552358,2022
2023/'24,650000.0,,5850.0,662390.0,644150.0,18240.0,7720.0,112298.0,108929.06,,,,,3368.94,653852.0,488183.0,-103760.0,1.275928629701853,573.6077223102816,2023
2024/'25,717000.0,,6453.0,728787.0,710547.0,18240.0,7720.0,119926.0,116328.22,,,,,3597.78,653852.0,488183.0,-44991.0,1.3579442718132169,592.4878675183029,2024
