year,marketing_year,fas_estimate_mt,tuikstat_official_mt,divergence_pct,notes
2009,2009/10,530000.0,530000,0.0,avg year
2010,2010/11,600000.0,600000,0.0,avg year
2011,2011/12,430000.0,430000,0.0,"cold stress, yield loss -25%"
2012,2012/13,710000.0,660000,-0.07042253521126761,"on-year, bounce-back"
2013,2013/14,,549000,,
2014,2014/15,,450000,,off-year
2015,2015/16,,646000,,
2016,2016/17,460000.0,420000,-0.08695652173913043,"drought, frost, off-year"
2017,2017/18,700000.0,675000,-0.03571428571428571,spring frost limited; mostly recovered
2018,2018/19,,515000,,off-year
2019,2019/20,,776000,,strong on-year
2020,2020/21,,665000,,
2021,2021/22,,684000,,
2022,2022/23,680000.0,765000,0.125,FAS conserv; TurkStat+MinAF higher; frost spring 2022
2023,2023/24,600000.0,650000,0.08333333333333333,"FAS conservative; TurkStat 730k, TUCA 718k"
2024,2024/25,675000.0,685000,0.014814814814814815,"FAS; TurkStat 685k, MinAF 718k, NHC 739k, INC 785k"
