year,tmo_eur,hazelnut_eur,almond_eur,walnut_eur
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,
1993,,,,
1994,,,,
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,,,,
2000,,,,
2001,,,,
2002,,,,
2003,,3.9403896000074305,5.04862417500952,3.9403896000074305
2004,,4.7284413600790085,5.9727680337840106,4.7284413600790085
2005,58.386567772970594,5.1023861955491725,6.844664408663525,5.226834639343055
2006,57.3152738773763,4.524534325966468,7.792253561386696,6.032712434621957
2007,73.29680055073868,6.16631053838619,9.729067738342655,7.536601769138676
2008,66.00175488147832,7.058159394911777,9.5579241806097,7.646339344487759
2009,77.64132525163879,7.253677549398722,8.090640343560112,6.695702353291128
2010,88.25387533239284,9.019977315815016,6.897629712093837,5.96910263546582
2011,85.07048043236288,7.658449133313619,6.68373742543734,7.101471014527173
2012,101.43659346943939,7.97171604018945,7.071683584039028,7.457411779532066
2013,91.0589687594815,9.429592024408853,8.234291626948577,8.632725092768668
2014,108.55782454007688,11.297344199770713,9.436605155102594,9.569515086864604
2015,107.88091982699899,10.215556808084362,9.438286181382292,8.994131537552537
2016,104.54096552162365,11.624656407312415,10.185413233073733,9.963991206267783
2017,96.07805174638506,12.6484991384107,9.938106465894123,9.59930738182955
2018,84.70873018820375,10.395707796907974,8.859978236001114,8.50557910656107
2019,90.05963164989151,10.750418780400203,9.182649374925173,8.734715259075164
2020,75.95571947048848,13.473902101280126,10.390890603529588,9.705776937362803
2021,56.10356919221805,15.618485510486295,10.05735809387375,10.885611113369235
2022,53.49704581322882,15.804807437153963,8.21849986732006,10.641903674350335
2023,42.16859163317927,,,
2024,47.17942607844557,,,
