year,spei03
1950,-0.633718295111887
1951,1.7648518313514632
1952,-0.7441298534940289
1953,0.13691243550690266
1954,0.20651866619359305
1955,-0.5841797661669836
1956,-1.2162099954378705
1957,-2.163880865679547
1958,0.4156970281153165
1959,0.03500201312434661
1960,1.6955310430071506
1961,-0.24956773889357642
1962,-1.3191648156969575
1963,-0.6073393776933742
1964,1.7707572435723492e-05
1965,0.24085723402867087
1966,0.09995046697657345
1967,0.6913403996798335
1968,1.3397633387234917
1969,-0.2903718155634222
1970,-0.40507668532022
1971,0.6263732846956543
1972,4.519706127169378
1973,0.03577264489748674
1974,-0.06784542743691391
1975,-0.6174318182634703
1976,1.613092208665243
1977,-0.38918636658028977
1978,-0.008730297480017524
1979,0.9713681989839584
1980,-0.7190251056549695
1981,0.6030633415923065
1982,0.32895028710001933
1983,1.2791968105596614
1984,1.3775228360774847
1985,-0.44282659147790215
1986,-0.9019525717785015
1987,0.013164735663230533
1988,0.08481681022385246
1989,-0.7897630975063256
1990,-0.5213088488373673
1991,0.0646175422891944
1992,0.7742199077913654
1993,0.16164437771544957
1994,-0.6300786446162339
1995,0.9245694161156408
1996,0.1408473280455121
1997,1.6433357526841759
1998,-1.1374251983860821
1999,1.650275400223522
2000,-0.24066127059772857
2001,-1.2344881050506364
2002,0.550540282560626
2003,-1.8171516128931424
2004,-0.07082453641273267
2005,-0.02604073878673822
2006,-0.9784527875699282
2007,-1.1137491217887858
2008,-1.1990340393837675
2009,-0.07662846120632807
2010,-0.2626480456187314
2011,0.3130151399425498
2012,0.1500027504369036
2013,-1.5701461982347158
2014,0.5335571929540758
2015,0.022790335178115274
2016,0.16493999616952232
2017,0.18436008365606762
2018,-0.821503285158267
2019,0.3610044821790032
2020,-1.0187207997677112
2021,0.9832283387349748
2022,-0.7235888470647344
2023,0.08293485070427378
2024,-1.192501600679092
